字段1,字段1_link,字段2,字段3,字段4,字段5
Board Secretary (Part Time),https://www.seek.co.nz/job/50605292?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Friendship House Trust,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Centre Administrator / Executive Assistant - Hobsonville location!,https://www.seek.co.nz/job/50585191?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,In Transit Consulting Ltd,"location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,$55,000 - $64,999","11d ago,at","$55,000 - $64,999"
Personal Assistant/Executive Assistant Roles - Expressions of Interest,https://www.seek.co.nz/job/50605228?type=standard#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Momentum Consulting Group,location: WellingtonWellington,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Administrator Te Whare o Matairangi,https://www.seek.co.nz/job/50608495?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Capital and Coast District Health Board,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$40,000 - $49,999","6d ago,at","$40,000 - $49,999"
Time Target Rostering Administrator,https://www.seek.co.nz/job/50572487?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"12d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing
Executive Officer - Te Tai Tokerau,https://www.seek.co.nz/job/50608920?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Department of Corrections,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
ADMINISTRATION/RECEPTIONIST,https://www.seek.co.nz/job/50589781?type=standard#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Pacific Island Advisory & Cultural Trust,location: SouthlandSouthlandarea: InvercargillInvercargill,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Office Manager,https://www.seek.co.nz/job/50599154?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,StarNow.com,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Dispatcher / Project Coordinator,https://www.seek.co.nz/job/50637795?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Clearvision Communications,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$45,000 - $59,999","2d ago,at","$45,000 - $59,999"
"Administrator, Office of the Deputy Director-General",https://www.seek.co.nz/job/50600797?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Ministry of Health,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Executive Assistant - Fixed Term,https://www.seek.co.nz/job/50631223?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,The University of Auckland,location: AucklandAucklandarea: Auckland CentralAuckland Central,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Business Manager,https://www.seek.co.nz/job/50633242?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,DLA Architects Limited,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Administration Superstar,https://www.seek.co.nz/job/50562012?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,NetYourJob,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"14d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Administrator,https://www.seek.co.nz/job/50590778?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Oranga Tamariki,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Operations Coordinator and/or 1:1 Support Worker,https://www.seek.co.nz/job/50606796?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,St Chads Communication Centre Trust,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
PA / Team Administrator,https://www.seek.co.nz/job/50625217?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Chandler Macleod NZ,location: WellingtonWellington,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Customer Service,https://www.seek.co.nz/job/50607463?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Jora New Zealand,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Team Leader Reception Services,https://www.seek.co.nz/job/50623064?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Ministry of Social Development,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Branch Administrator,https://www.seek.co.nz/job/50593033?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Penske New Zealand,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Administrator- Henderson,https://www.seek.co.nz/job/50566949?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Briscoe Group,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,"13d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Dispatch Administrator,https://www.seek.co.nz/job/50608580?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Enterprise Recruitment,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,NZD25 - NZD28 per hour","6d ago,at",NZD25 - NZD28 per hour
Executive Assistant,https://www.seek.co.nz/job/50605383?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Little Recruiter,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Administrator - New Initiative,https://www.seek.co.nz/job/50633336?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,GBL Personnel,location: WellingtonWellington,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Order processing and Customer Service Role,https://www.seek.co.nz/job/50584794?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Food Specialists International ltd,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Data Entry Administrator,https://www.seek.co.nz/job/50576836?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing
Headmaster - St Paul's Collegiate School,https://www.seek.co.nz/job/50613781?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Sheffield,location: WaikatoWaikatoarea: HamiltonHamilton,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
OFFICE ADMINISTRATOR OPPORTUNITY - Dunedin Based,https://www.seek.co.nz/job/50585682?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,NetYourJob,location: OtagoOtagoarea: DunedinDunedin,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
9 month Fixed Term Contract - Office Administrator - Part-time,https://www.seek.co.nz/job/50570167?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,AER Group Ltd,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"13d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Brewery Sales and Logistics Administrator,https://www.seek.co.nz/job/50613972?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Cassels and Sons Brewery Limited,location: CanterburyCanterburyarea: ChristchurchChristchurch,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Administrator - Returns & Repairs team (fixed-term & part-time),https://www.seek.co.nz/job/50600752?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Rubber Monkey Sales Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Wairau Park - Administration Assistant - Part time,https://www.seek.co.nz/job/50541299?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Harvey Norman,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"18d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Administrator (Academic Registry & Graduation),https://www.seek.co.nz/job/50606969?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Unitec Institute of Technology,location: AucklandAucklandarea: Auckland CentralAuckland Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Commercial Administrator,https://www.seek.co.nz/job/50606405?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Bay of Plenty Regional Council,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Senior Business Support,https://www.seek.co.nz/job/50620333?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Walker Davey Searells Limited,location: CanterburyCanterburyarea: ChristchurchChristchurch,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Administrator,https://www.seek.co.nz/job/50573230?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Moore Markhams Otago Limited,location: OtagoOtagoarea: DunedinDunedin,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Data Entry,https://www.seek.co.nz/job/50575091?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Randstad - Business Support,location: WellingtonWellington,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Data Entry & Word ProcessingData Entry & Word Processing
Office Administrator,https://www.seek.co.nz/job/50572931?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Golden Pine Trading Limited,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$20 - $24.99 per hour","12d ago,at",$20 - $24.99 per hour
Case Manager - Dynamic Case Manager role in Takapuna,https://www.seek.co.nz/job/50640451?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,NZDRC,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"7m ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Membership Administrator,https://www.seek.co.nz/job/50588959?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Apiculture New Zealand,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
"Finance Administration Team Leader: Citycare Water, Christchurch",https://www.seek.co.nz/job/50605968?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Citycare,location: CanterburyCanterburyarea: ChristchurchChristchurch,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Business Administrator - Chronoptics,https://www.seek.co.nz/job/50599017?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Yellow Umbrella,location: WaikatoWaikatoarea: HamiltonHamilton,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Helpdesk Coordinator,https://www.seek.co.nz/job/50627256?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Colliers International,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Client Coordinator,https://www.seek.co.nz/job/50620928?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Metrobox,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Part-time Accounts/Office Administrator,https://www.seek.co.nz/job/50572576?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Platinum Recruitment Limited,location: OtagoOtagoarea: DunedinDunedin,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Manufacturing Administrator,https://www.seek.co.nz/job/50597422?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,CARTERS,location: WaikatoWaikatoarea: HamiltonHamilton,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Business Support,https://www.seek.co.nz/job/50601370?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Bayleys Realty Group,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Administrator/Coordinator Roles - Expression of Interest,https://www.seek.co.nz/job/50605229?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Momentum Consulting Group,location: WellingtonWellington,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Health Care Home Project Coordinator - 1 year fixed term,https://www.seek.co.nz/job/50608014?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Western Bay of Plenty Primary Health Organisation,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Administrator HSNO Reassessments,https://www.seek.co.nz/job/50597959?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Environmental Protection Authority (EPA),location: WellingtonWellingtonarea: Wellington CentralWellington Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Team Member,https://www.seek.co.nz/job/50632523?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Robert Walters,location: WellingtonWellington,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Regulatory Administration Team Leader,https://www.seek.co.nz/job/50564731?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Thames-Coromandel District Council,location: WaikatoWaikatoarea: Thames & CoromandelThames & Coromandel,"13d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Office Administrator - Sales Coordinator,https://www.seek.co.nz/job/50585283?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Norrcom Ltd,location: WellingtonWellingtonarea: Porirua & Kapiti CoastPorirua & Kapiti Coast,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Receptionist,https://www.seek.co.nz/job/50577069?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Annex Group,location: WaikatoWaikatoarea: HamiltonHamilton,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Contract Administrator / Reception,https://www.seek.co.nz/job/50624680?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Rodney West Residential Limited,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$45,000 - $49,999","4d ago,at","$45,000 - $49,999"
Commercial Administrator (28 hrs/week),https://www.seek.co.nz/job/50610487?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,FSL Foods,location: TasmanTasmanarea: NelsonNelson,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
"Team Administrator, (Fixed Term)",https://www.seek.co.nz/job/50607605?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Department of Conservation,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
ICT Administrator,https://www.seek.co.nz/job/50628855?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Alpha Recruitment - NZ,location: WellingtonWellington,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Rockstar Executive Assistant - Perfect for Foodies,https://www.seek.co.nz/job/50608693?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,JOYN,location: AucklandAucklandarea: Auckland CentralAuckland Central,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Receptionist,https://www.seek.co.nz/job/50605288?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Alpha Recruitment - NZ,location: WellingtonWellington,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Business Support Associate,https://www.seek.co.nz/job/50617166?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Jarden,location: AucklandAucklandarea: Auckland CentralAuckland Central,"5d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Client Programme Coordinator,https://www.seek.co.nz/job/50597489?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Deloitte - NZ,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive Salary","7d ago,at",Competitive Salary
Personal Assistant to Partner,https://www.seek.co.nz/job/50624787?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Somerset Smith Partners,location: Hawkes BayHawkes Bayarea: NapierNapier,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Retail Assistant & Administrator,https://www.seek.co.nz/job/50584608?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Drake New Zealand - Masterton,location: WellingtonWellington,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Administration/Marketing Assistant,https://www.seek.co.nz/job/50561083?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Edinburgh Realty Ltd MREINZ,location: OtagoOtagoarea: DunedinDunedin,"14d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Personal Assistant to Salesperson,https://www.seek.co.nz/job/50605238?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Property Brokers,location: WellingtonWellingtonarea: Rest of Wellington RegionRest of Wellington Region,"6d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Project/Programme Coordinator,https://www.seek.co.nz/job/50629863?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,New Zealand Security Intelligence Service,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Customer Service Administrator,https://www.seek.co.nz/job/50595916?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,dm consult mortgages and Insurance,"location: Hawkes BayHawkes Bayarea: HastingsHastings,$22 per hour","9d ago,at",$22 per hour
Administration Manager,https://www.seek.co.nz/job/50624687?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Madison Recruitment Limited,"location: AucklandAucklandarea: Auckland CentralAuckland Central,NZD75000 per annum","4d ago,at",NZD75000 per annum
Transition Coordinator,https://www.seek.co.nz/job/50607516?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Manukau Institute of Technology,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Transition Coordinator,https://www.seek.co.nz/job/50607514?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Manukau Institute of Technology,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Retail Coordinator,https://www.seek.co.nz/job/50608641?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Natural Sugars,location: AucklandAucklandarea: Auckland CentralAuckland Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Reception/Admin,https://www.seek.co.nz/job/50554655?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Revolution Health,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$20 - $24.99 per hour","16d ago,at",$20 - $24.99 per hour
Human Resources and Payroll Administrator,https://www.seek.co.nz/job/50605709?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,INSIDE Recruitment,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Sales Co-Ordinator,https://www.seek.co.nz/job/50631711?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Asset Recruitment Ltd,location: WaikatoWaikatoarea: HamiltonHamilton,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Temps temps Temps,https://www.seek.co.nz/job/50599282?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Emergent & Co Ltd,location: AucklandAuckland,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Principal's Personal Assistant,https://www.seek.co.nz/job/50576960?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,TARARUA COLLEGE,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"12d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Administration Manager,https://www.seek.co.nz/job/50587897?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Tribe (New Zealand) Limited,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Business Support,https://www.seek.co.nz/job/50576340?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Wise Group,location: AucklandAuckland,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Business Development Administrator,https://www.seek.co.nz/job/50576858?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Powerco,location: TaranakiTaranakiarea: New PlymouthNew Plymouth,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Administrator-Maori Health,https://www.seek.co.nz/job/50629277?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Alpha Recruitment - NZ,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Admin/Accounts Assistant,https://www.seek.co.nz/job/50564120?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Signature Homes Waikato,location: WaikatoWaikatoarea: HamiltonHamilton,"13d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Group Executive Assistant,https://www.seek.co.nz/job/50602483?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Reserve Bank of New Zealand,location: AucklandAucklandarea: Auckland CentralAuckland Central,"7d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Team Leader Compliance Support,https://www.seek.co.nz/job/50615457?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Otago Regional Council,location: OtagoOtagoarea: DunedinDunedin,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther
Category Assistant,https://www.seek.co.nz/job/50597415?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Bowel Screening Programme & Endoscopy Service Bookings Clerk,https://www.seek.co.nz/job/50573762?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,South Canterbury District Health Board,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Manager,https://www.seek.co.nz/job/50616430?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,O'Brien Ward Lawyers,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Operations Coordinator - South Island,https://www.seek.co.nz/job/50597654?type=standout#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,,location: CanterburyCanterburyarea: ChristchurchChristchurch,"7d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
